#TYPE Microsoft.PowerShell.Commands.LocalUser
"AccountExpires","Description","Enabled","FullName","PasswordChangeableDate","PasswordExpires","UserMayChangePassword","PasswordRequired","PasswordLastSet","LastLogon","Name","SID","PrincipalSource","ObjectClass"
,"Built-in account for administering the computer/domain","True","","5/17/2025 8:09:35 PM",,"True","True","5/16/2025 8:09:35 PM","2/14/2026 9:12:18 AM","Administrator","S-1-5-21-2797066498-1365161904-233915892-500",,"User"
,"Built-in account for guest access to the computer/domain","True","",,,"True","False","5/16/2025 9:34:27 PM",,"Guest","S-1-5-21-2797066498-1365161904-233915892-501",,"User"
,"Key Distribution Center Service Account","False","","5/17/2025 5:08:45 PM","6/27/2025 5:08:45 PM","True","True","5/16/2025 5:08:45 PM",,"krbtgt","S-1-5-21-2797066498-1365161904-233915892-502",,"User"
,"","True","sqlsvc","5/17/2025 5:47:43 PM",,"True","True","5/16/2025 5:47:43 PM","5/16/2025 8:22:30 PM","sqlsvc","S-1-5-21-2797066498-1365161904-233915892-1104",,"User"
,"","True","sqlmgmt","5/17/2025 6:24:21 PM",,"True","True","5/16/2025 6:24:21 PM",,"sqlmgmt","S-1-5-21-2797066498-1365161904-233915892-1105",,"User"
,"","True","Charlie Moss","5/17/2025 8:05:41 PM",,"True","False","5/16/2025 8:05:41 PM",,"Charlie.Moss","S-1-5-21-2797066498-1365161904-233915892-1112",,"User"
,"","True","Tracy Burns","5/17/2025 8:05:41 PM",,"True","False","5/16/2025 8:05:41 PM",,"Tracy.Burns","S-1-5-21-2797066498-1365161904-233915892-1113",,"User"
,"","True","Kathryn Bryan","5/17/2025 8:05:41 PM",,"True","False","5/16/2025 8:05:41 PM",,"Kathryn.Bryan","S-1-5-21-2797066498-1365161904-233915892-1114",,"User"
,"","True","Rachael Thomas","5/17/2025 8:05:41 PM",,"True","False","5/16/2025 8:05:41 PM",,"Rachael.Thomas","S-1-5-21-2797066498-1365161904-233915892-1115",,"User"
,"","True","Aimee Smith","5/17/2025 8:05:41 PM",,"True","False","5/16/2025 8:05:41 PM",,"Aimee.Smith","S-1-5-21-2797066498-1365161904-233915892-1116",,"User"
,"","True","Duncan Freeman","5/17/2025 8:05:41 PM",,"True","False","5/16/2025 8:05:41 PM",,"Duncan.Freeman","S-1-5-21-2797066498-1365161904-233915892-1117",,"User"
,"","True","John Begum","5/17/2025 8:05:42 PM",,"True","False","5/16/2025 8:05:42 PM",,"John.Begum","S-1-5-21-2797066498-1365161904-233915892-1118",,"User"
,"","True","Bernard Hilton","5/17/2025 8:05:42 PM",,"True","False","5/16/2025 8:05:42 PM",,"Bernard.Hilton","S-1-5-21-2797066498-1365161904-233915892-1119",,"User"
,"","True","Kim Hargreaves","5/17/2025 8:05:42 PM",,"True","False","5/16/2025 8:05:42 PM",,"Kim.Hargreaves","S-1-5-21-2797066498-1365161904-233915892-1120",,"User"
,"","True","Douglas Burrows","5/17/2025 8:05:42 PM",,"True","False","5/16/2025 8:05:42 PM",,"Douglas.Burrows","S-1-5-21-2797066498-1365161904-233915892-1121",,"User"
,"","True","Carole Murray","5/17/2025 8:05:42 PM",,"True","False","5/16/2025 8:05:42 PM",,"Carole.Murray","S-1-5-21-2797066498-1365161904-233915892-1122",,"User"
,"","True","Olivia Quinn","5/17/2025 8:05:42 PM",,"True","False","5/16/2025 8:05:42 PM",,"Olivia.Quinn","S-1-5-21-2797066498-1365161904-233915892-1123",,"User"
,"","True","Trevor Baker","5/17/2025 8:05:42 PM",,"True","False","5/16/2025 8:05:42 PM",,"Trevor.Baker","S-1-5-21-2797066498-1365161904-233915892-1124",,"User"
,"","True","Kenneth Dennis","5/17/2025 8:05:42 PM",,"True","False","5/16/2025 8:05:42 PM",,"Kenneth.Dennis","S-1-5-21-2797066498-1365161904-233915892-1125",,"User"
,"","True","Jeremy Marshall","5/17/2025 8:05:43 PM",,"True","False","5/16/2025 8:05:43 PM",,"Jeremy.Marshall","S-1-5-21-2797066498-1365161904-233915892-1126",,"User"
,"","True","Jodie Jones","5/17/2025 8:05:43 PM",,"True","False","5/16/2025 8:05:43 PM",,"Jodie.Jones","S-1-5-21-2797066498-1365161904-233915892-1127",,"User"
,"","True","Thomas Lee","5/17/2025 8:05:43 PM",,"True","False","5/16/2025 8:05:43 PM",,"Thomas.Lee","S-1-5-21-2797066498-1365161904-233915892-1128",,"User"
